0/1/-0|
0.001/1/-0.001|
0.002/0.999998/-0.002|
0.003/0.999996/-0.003|
0.00399999/0.999992/-0.00399999|
0.00499998/0.999987/-0.00499998|
0.00599996/0.999982/-0.00599996|
0.00699994/0.999976/-0.00699994|
0.00799991/0.999968/-0.00799991|
0.00899988/0.99996/-0.00899988|
0.00999983/0.99995/-0.00999983|
0.0109998/0.99994/-0.0109998|
0.0119997/0.999928/-0.0119997|
0.0129996/0.999915/-0.0129996|
0.0139995/0.999902/-0.0139995|
0.0149994/0.999888/-0.0149994|
0.0159993/0.999872/-0.0159993|
0.0169992/0.999856/-0.0169992|
0.017999/0.999838/-0.017999|
0.0189989/0.99982/-0.0189989|
0.0199987/0.9998/-0.0199987|
0.0209985/0.99978/-0.0209985|
0.0219982/0.999758/-0.0219982|
0.022998/0.999736/-0.022998|
0.0239977/0.999712/-0.0239977|
0.0249974/0.999687/-0.0249974|
0.0259971/0.999662/-0.0259971|
0.0269967/0.999636/-0.0269967|
0.0279963/0.999608/-0.0279963|
0.0289959/0.99958/-0.0289959|
0.0299955/0.99955/-0.0299955|
0.030995/0.99952/-0.030995|
0.0319945/0.999488/-0.0319945|
0.032994/0.999456/-0.032994|
0.0339934/0.999422/-0.0339934|
0.0349929/0.999388/-0.0349929|
0.0359922/0.999352/-0.0359922|
0.0369916/0.999316/-0.0369916|
0.0379908/0.999278/-0.0379908|
0.0389901/0.99924/-0.0389901|
0.0399893/0.9992/-0.0399893|
0.0409885/0.99916/-0.0409885|
0.0419876/0.999118/-0.0419876|
0.0429867/0.999076/-0.0429867|
0.0439858/0.999032/-0.0439858|
0.0449848/0.998988/-0.0449848|
0.0459838/0.998942/-0.0459838|
0.0469827/0.998896/-0.0469827|
0.0479815/0.998848/-0.0479815|
0.0489804/0.9988/-0.0489804|
0.0499791/0.99875/-0.0499791|
0.0509779/0.9987/-0.0509779|
0.0519765/0.998648/-0.0519765|
0.0529752/0.998596/-0.0529752|
0.0539737/0.998542/-0.0539737|
0.0549722/0.998488/-0.0549722|
0.0559707/0.998432/-0.0559707|
0.0569691/0.998376/-0.0569691|
0.0579674/0.998318/-0.0579674|
0.0589657/0.99826/-0.0589657|
0.059964/0.998201/-0.059964|
0.0609621/0.99814/-0.0609621|
0.0619602/0.998079/-0.0619602|
0.0629583/0.998016/-0.0629583|
0.0639563/0.997953/-0.0639563|
0.0649542/0.997888/-0.0649542|
0.065952/0.997823/-0.065952|
0.0669498/0.997756/-0.0669498|
0.0679476/0.997689/-0.0679476|
0.0689452/0.99762/-0.0689452|
0.0699428/0.997551/-0.0699428|
0.0709403/0.997481/-0.0709403|
0.0719378/0.997409/-0.0719378|
0.0729351/0.997337/-0.0729351|
0.0739325/0.997263/-0.0739325|
0.0749297/0.997189/-0.0749297|
0.0759268/0.997113/-0.0759268|
0.0769239/0.997037/-0.0769239|
0.0779209/0.99696/-0.0779209|
0.0789178/0.996881/-0.0789178|
0.0799147/0.996802/-0.0799147|
0.0809114/0.996721/-0.0809114|
0.0819081/0.99664/-0.0819081|
0.0829047/0.996557/-0.0829047|
0.0839012/0.996474/-0.0839012|
0.0848977/0.99639/-0.0848977|
0.085894/0.996304/-0.085894|
