-3.58672/-2.6145
-3.36455/-2.57074
-3.14946/-2.52824
-2.94123/-2.48696
-2.73966/-2.44687
-2.54452/-2.40792
-2.35561/-2.37007
-2.17274/-2.3333
-1.99572/-2.29758
-1.82435/-2.26286
-1.65848/-2.22912
-1.49791/-2.19633
-1.34249/-2.16446
-1.19205/-2.13347
-1.04642/-2.10335
-0.905476/-2.07406
-0.769049/-2.04559
-0.637004/-2.01789
-0.5092/-1.99096
-0.385503/-1.96476
-0.265785/-1.93928
-0.14992/-1.91449
-0.0377841/-1.89037
0.0707381/-1.8669
0.175763/-1.84406
0.2774/-1.82183
0.375757/-1.80019
0.470936/-1.77912
0.56304/-1.75861
0.652165/-1.73864
0.738406/-1.71919
0.821853/-1.70025
0.902596/-1.68179
0.980719/-1.66382
1.05631/-1.6463
1.12944/-1.62923
1.20019/-1.61259
1.26864/-1.59637
1.33486/-1.58056
1.39893/-1.56514
1.4609/-1.55011
1.52085/-1.53545
1.57884/-1.52114
1.63493/-1.50719
1.68918/-1.49357
1.74165/-1.48028
1.7924/-1.46731
1.84149/-1.45465
1.88895/-1.44228
1.93486/-1.43021
1.97925/-1.41842
2.02217/-1.4069
2.06368/-1.39564
2.10381/-1.38464
2.14261/-1.37389
2.18012/-1.36338
2.21639/-1.3531
2.25145/-1.34305
2.28534/-1.33323
2.31809/-1.32361
2.34976/-1.3142
2.38036/-1.305
2.40993/-1.29599
2.43851/-1.28716
2.46613/-1.27853
2.49281/-1.27007
2.5186/-1.26178
2.54351/-1.25366
2.56757/-1.24571
2.59082/-1.23791
2.61328/-1.23027
2.63496/-1.22278
2.65591/-1.21543
2.67614/-1.20822
2.69567/-1.20115
2.71453/-1.19421
2.73274/-1.1874
2.75031/-1.18071
2.76728/-1.17415
2.78365/-1.1677
2.79945/-1.16137
2.8147/-1.15515
2.82942/-1.14904
2.84361/-1.14304
2.8573/-1.13713
2.87051/-1.13133
2.88325/-1.12562
2.89553/-1.12001
2.90737/-1.11448
2.91878/-1.10905
2.92979/-1.1037
2.94039/-1.09843
2.95061/-1.09325
2.96045/-1.08815
2.96993/-1.08312
2.97906/-1.07817
2.98786/-1.07329
2.99632/-1.06848
3.00447/-1.06374
3.01231/-1.05907
3.01986/-1.05447
3.02711/-1.04992
3.03409/-1.04544
3.0408/-1.04102
3.04725/-1.03666
3.05345/-1.03236
3.05941/-1.02811
3.06513/-1.02391
3.07062/-1.01977
3.07589/-1.01568
3.08095/-1.01164
3.0858/-1.00765
3.09045/-1.00371
3.09491/-0.999814
3.09918/-0.995963
3.10328/-0.992157
3.10719/-0.988393
3.11094/-0.984672
3.11453/-0.980991
3.11796/-0.977351
3.12123/-0.973749
3.12436/-0.970186
3.12735/-0.96666
3.13019/-0.963171
3.13291/-0.959717
3.13549/-0.956298
3.13795/-0.952912
3.14029/-0.94956
3.14251/-0.94624
3.14462/-0.942952
3.14662/-0.939695
3.14852/-0.936468
3.15031/-0.93327
3.15201/-0.930102
3.15361/-0.926962
3.15512/-0.923849
